pays,code_iso3,volaille_kcal_hab_jour,population_milliers,pib_par_habitant_ppp,pct_pop_ne_peut_manger_sain,imports_alim_pct_imports_totaux,densite_population_hab_km2,pct_population_urbaine,lpi_efficacite_douane,croissance_pib_pct,marche_volaille,taux_dependance_import,prix_moyen_import,part_bio_agriculture,indice_stabilite_globale,part_volaille_viande,distance_france_km,volaille_import_valeur_usd_hab
Peru,PER,176.22,31324.64,15070,33.3,12.1234600846274,24.47237265625,82.1931650502403,2.642989,2.51883544233135,5520028.0608,41.71556996587031,1343.8082473359732,0.0222514472925234,51.495079280000006,3.578071065989848,10255.355561175638,2.621724303934539
Uzbekistan,UZB,7.98,31819.18,8047,19.7,10.7797032514125,72.2198017195203,50.6787376403809,2.209487,4.39527463349263,253917.05640000003,100.0,808.3400375872503,0.0,40.0893693,0.21555915721231766,5148.805932046004,0.31198258408921914
Egypt,EGY,58.33,103696.06,14018,52.7,20.284907436335,104.170030639409,42.4486008687179,2.67481,4.18122099994778,6048591.1798,65.18000699790063,1676.9526561689581,0.027602517904237324,42.23135126,2.119549418604651,3210.145878539216,1.5062781556020546
Malawi,MWI,27.24,18039.72,1613,84.0,12.5411806593085,191.341907085278,15.9634281867266,2.43,4.00000000089172,491401.9728,2.825153846153846,2457.7558744248104,0.0021024583118445933,46.11395724,1.1900393184796854,7642.026931445364,0.05003736199896672
Jordan,JOR,91.04,10234.23,9340,12.5,18.6700700543504,115.276255913494,90.8764609714428,2.521402,2.47359815449045,931724.2992,100.0,1599.0144513058897,0.0014399205561072491,56.7494214,2.573932711337292,3365.787556572575,10.17685453619862
Niger,NER,4.03,21435.45,1520,86.1,34.7431599441747,16.9222752032841,16.5036987906896,2.1787065,5.00536078615544,86384.8635,100.0,1206.5553813520244,5.365382551775942e-06,43.5720372,0.45847554038680327,3928.7761847062598,0.15258228775229818
Algeria,DZA,25.63,41689.3,15428,18.8,20.2300414574917,17.5037080018356,71.3227912436551,2.2492105000000002,1.49999999895587,1068496.759,8.477957746478873,2157.1058336863616,1.8628217664133372e-05,42.015356960000005,1.276394422310757,1344.5966339982656,0.12458232688003876
Croatia,HRV,40.9,4079.2,32352,27.9,12.9822559599019,72.2144056893717,55.9009887365155,3.027121,3.28396321643012,166839.28,100.0,2481.1539114758543,0.06452905811623245,61.38956324000001,0.5243589743589744,1079.3109609483358,15.61465238282016
Rwanda,RWA,5.62,12202.06,2352,79.8,22.5994817143072,494.611268747467,20.2477568101111,2.8017244999999997,3.91817093628465,68575.5772,0.8627777777777778,5198.325820991629,0.0006384039900249376,59.05893718,0.6307519640852974,6243.53761305138,0.006616095970680361
Tajikistan,TJK,16.29,9085.95,3313,36.0,21.9000992700884,65.4654225808776,26.2731513977051,1.9266665,7.10000041864309,148010.1255,100.0,871.3819998267029,0.003305828148996538,39.02021134,0.5321790264619405,5289.131499817324,4.26125501461047
Côte d'Ivoire,CIV,6.9,26733.37,5556,56.2,20.9293744697827,84.0672075471698,50.3977309654344,2.7233335,7.41076242592504,184460.253,12.965416666666668,2501.9121380595816,0.002039658001315895,43.9593468,0.5887372013651877,4730.166031766549,0.05824331163635561
Montenegro,MNE,62.51,620.11,22740,17.4,22.6612560158202,46.5414126394052,64.9992438680584,2.387537,3.21668504736274,38763.0761,100.0,2203.01535931981,0.010534529847834569,57.024600680000006,0.7254264825345247,1483.7089106160138,29.29885020399606
Mexico,MEX,128.3,123400.06,21778,28.3,5.77334298670112,63.4790282671879,77.7206924598541,2.8238075,1.87172853327193,15832227.698,100.0,1215.0664836312337,0.006952323974171188,46.01663556,1.868900218499636,9196.24924098678,9.63083607901001
Nepal,NPL,7.78,28011.26,4072,33.2,17.6428567864629,195.404659923265,65.5768928085184,2.1116665,8.97727935643466,217927.6028,2.344310344827586,5686.69559461646,0.0023810306027530845,43.13331616000001,0.5810306198655714,7235.805107449051,0.02760389928907161
Estonia,EST,91.85,1317.42,39940,10.9,10.961027323393,30.816,68.9931941915158,3.3659125,5.63467248963991,121005.027,100.0,1896.285635584444,0.2,77.23393156,1.4455461126849227,1858.1339565878034,33.704619635347875
Guinea,GIN,8.01,12385.66,3333,44.4,25.011415071855453,50.4055795214065,35.5827331542969,2.3660255,10.3000053427355,99209.1366,100.0,1022.7544085966433,0.0,38.364593,0.6647302904564315,4622.77937242774,3.095607339455467
Philippines,PHL,52.51,108119.69,8584,46.6,11.0747677813784,362.61090317604,52.6010482354344,2.5692385,6.9309883258402,5677364.9218999995,100.0,922.3517749648107,0.015891183478951548,47.51725280000001,1.3998933617701947,10744.153095576728,2.2361529153477964
Slovakia,SVK,52.53,5435.7,35043,19.7,5.69860199187476,113.128785357737,53.6126018237016,3.0338890000000003,2.87473327453695,285537.321,100.0,1990.918278421735,0.10066524747205961,64.66784268,0.8901881037112355,1088.3174154320027,24.477574185477494
Angola,AGO,39.48,30234.84,9042,60.7,17.7351790914195,24.2518962059838,65.0850525086068,1.6834164999999999,-0.149396225571834,1193671.4832,100.0,1131.4584216774742,0.0,35.72552268,1.6074918566775245,6502.064750447064,10.395783473635051
Lithuania,LTU,106.15,2829.31,38775,21.3,12.39470541688,45.3798470650213,67.1012954711914,3.1326140000000002,4.61224310312809,300331.2565,100.0,1618.8768431567012,0.07975334718768098,70.46898719999999,1.2968845448992061,1696.076964244121,25.80027285804666
Kazakhstan,KAZ,68.62,18651.93,31524,9.3,11.4239342143862,6.90889024706449,57.4586448748837,2.588127,4.10000000257358,1279895.4366000001,100.0,864.2195004771554,0.0012816024146481005,50.90579838,1.1944299390774586,4758.976791324375,8.119413915878946
Portugal,PRT,113.5,10330.84,37943,18.9,14.8265913685902,112.441815784188,61.1296726507436,3.27161,3.31472008175986,1172550.34,100.0,2456.314421839565,0.06908871820078702,74.03789394,1.2225333907798361,1454.116174526332,21.57130881903117
Myanmar,MMR,124.66,51894.94,5878,45.4,14.6149263900345,79.5020114898506,29.9051727703437,2.2992855,6.13610824360305,6469223.2204,0.3106924408540104,2081.4962019203986,0.0007852239995097138,36.775905800000004,2.101837801382566,8633.544509435304,0.021596325190856757
Morocco,MAR,76.85,35446.39,8450,13.2,11.2874889238467,79.4227918440511,61.2761057031842,2.276111,5.05789816173446,2724055.0714999996,5.28758389261745,2441.2108903979183,0.0002953629479492345,49.78199943999999,2.2108745684695053,1815.4076915481,0.2712981491204041
United Republic of Tanzania,TZA,4.64,55652.89,3319,75.7,10.2785536416025,62.8278279521337,32.2987013317296,2.775661,6.72726996832338,258229.40959999998,37.78523076923077,1008.5992084819466,0.0071621263671689155,46.81103124,0.4607745779543197,6941.42144228854,0.044510896019955115
Botswana,BWA,12.49,2266.75,17353,62.8,12.537601456042,3.99969473999965,65.9456435684731,3.049388,4.11437856445083,28311.7075,100.0,1558.783051265572,0.0,66.715687,0.5470871660096365,8503.178597079517,2.1185971104003527
Iran (Islamic Republic of),IRN,97.29,85026.75,15108,7.7,20.191545455076,52.4047790446841,74.4011840820312,2.4766665000000003,3.02685468694025,8272252.5075,2.532406563354604,1428.897967999136,0.0002584257564337246,42.776574520000004,2.550865233350813,4208.5274081399575,0.09337179181845713
Thailand,THA,49.44,71160.19,20095,22.8,6.34209597236378,139.286709467791,49.2311973571777,3.122533,4.1776810321001,3518159.7936,1.2258837345860245,3821.4237814224407,0.003994835208123605,50.69261466,1.7906555595798623,9442.659184658349,0.112111982837595
Gabon,GAB,136.52,2156.9,19556,31.7,14.7766431504621,8.37078433655451,89.0009733256896,2.0149245000000002,0.472642030911146,294459.988,100.0,1129.3862273988275,0.0,42.93681732,2.0240177909562638,5432.072306833901,42.39009226204274
Russian Federation,RUS,119.65,146186.8,35570,3.1,11.0570474239392,8.87185768709161,74.460036813029,2.2132145,1.82579006401834,17491250.62,50.67872523117569,1592.4917403678826,0.0030488087835392167,44.869580459999995,1.5585515175198648,2486.228685269426,2.507505191987238
Namibia,NAM,41.78,2506.85,11409,57.7,13.5149881475784,3.04492098774429,46.8135799686288,2.647065,-1.02724808856709,104736.193,100.0,1171.0901885087683,1.288294555667208e-06,61.126367359999996,1.3658058188950637,8076.440422653623,13.64973971318587
Fiji,FJI,140.12,918.76,13091,45.4,18.4273025008703,50.2878489326765,55.7408343449609,2.3709215,5.35336455965039,128736.65120000001,92.8585294117647,1774.1187575027159,0.05283259070655634,56.0411619,2.6593281457582085,16581.623633253403,6.096510514171274
Guinea-Bissau,GNB,13.76,1877.07,2314,63.8,46.0194884082423,66.7522048364154,43.0155792236328,2.227222,4.66367943913264,25828.4832,100.0,1134.2937250033215,0.001044177383847532,32.2094455,0.8018648018648018,4434.39419025947,2.638074232713751
Uganda,UGA,6.16,40177.39,2544,74.4,14.9376122057273,200.365988430082,26.4139260579546,2.791145,3.13140551723596,247492.7224,4.038769230769231,1275.7504190156942,0.01819632327436698,44.0641249,0.555956678700361,6122.965071270041,0.008335782886842575
Kenya,KEN,8.18,49197.77,4847,69.3,18.899750728629,85.5601194522199,31.5383650847102,2.9093115000000003,3.83795817364721,402437.75859999994,1.7146226415094339,2910.206327372765,0.006298314639956807,44.19872588,0.49336550060313633,6482.776664727293,0.010751097051756614
Brazil,BRA,181.56,204703.45,17725,27.1,6.32149411569174,24.4915070817191,86.1982897571091,2.5835920000000003,1.32286905390815,37165958.382,0.2343661773009599,2577.9280228881194,0.004799918945959752,49.71588025999999,1.7997620935765266,8522.079307292666,0.041816637677577
Colombia,COL,128.76,48131.08,16986,31.7,12.6402054672071,43.3808724650744,77.2245191706503,2.4089855,1.35936086788746,6197357.8608,53.690179028132995,1003.436882825875,0.000726653942557546,49.749801360000006,2.178680203045685,8631.77149855086,1.750636802664723
Mongolia,MNG,10.56,3104.36,14402,28.6,12.4622703661968,2.02209412791248,67.9260583223672,2.3061925,5.63687638694772,32782.041600000004,100.0,1602.2531631662032,0.0,53.2404224,0.11641494873773565,7047.851995187222,4.979503021556778
Norway,NOR,77.61,5276.8,87194,1.9,9.13046415924503,14.452576255125,81.9699745912375,3.543618,2.46374626574153,409532.44800000003,26.519504950495048,4678.062475965757,0.04775091563192815,88.74436226,1.1384773360715856,1341.5839433896947,2.374554654335961
Slovenia,SVN,89.12,2062.41,41703,3.7,8.15806693202461,102.610871929328,55.2451133728027,3.1511765,5.17440215579958,183801.9792,100.0,2773.9666390902985,0.07514958376690947,71.06292272,1.2093906907314427,964.4371788580763,30.36999917572161
Mauritania,MRT,19.76,4210.6,6051,51.7,13.8180668404553,4.08518482584651,54.1970448502004,2.1714285,6.27054566937677,83201.45600000002,100.0,799.3872234779079,0.0,41.05101098,0.6215791129285939,3798.9485176866674,4.4719588657198495
Zimbabwe,ZWE,19.12,14812.48,3454,75.5,14.8943839254836,38.2899883675843,34.7014953017273,1.997619,4.73441117758482,283214.6176,85.25391304347826,785.4388935354235,0.00020088068564966483,34.42715416,0.3726369128824791,7940.267328819927,0.31192345913716
Sri Lanka,LKA,34.07,22087.52,14573,36.0,12.9560404749405,346.614318258931,19.1507693078088,2.58,6.46068127065753,752521.8064,1.987363184079602,3192.835327692385,0.0599775378595754,52.50008394,3.229383886255924,8514.093006176785,0.057743467804443414
Lebanon,LBN,86.34,6160.13,16129,0.3,16.7696518115414,602.163049853372,89.0519233886895,2.5536364999999996,0.903028464073813,531865.6242000001,100.0,2557.602826315907,0.0020049901978256993,41.65285564,2.2425974025974025,3188.7208931547207,6.1380798781843895
India,IND,10.58,1359657.4,7327,59.2,5.63841140503153,457.30592394028,33.1821328157539,3.06721,6.79538341897911,14385175.292,0.03324921135646688,3988.0613535736875,0.009931040639157312,53.07385854,2.285097192224622,6586.0251123105845,0.00037098316090509277
Italy,ITA,68.99,60390.32,48849,10.3,10.6680139305836,202.903617635721,69.5180784259382,3.4615155,1.60369995294101,4166328.1767999995,79.81852160727824,2527.2559634189115,0.14883168298305782,62.06602578,0.8766200762388817,1105.314049140279,4.405856766448662
Dominican Republic,DOM,131.83,10666.84,19502,27.4,14.9273488032741,220.799896501759,73.926806252977,2.3989395,3.93386176401576,1406209.5172000001,100.0,1324.5280807536744,0.08112099815259077,48.96838518,2.550890092879257,7186.364372295921,4.979590019162188
Malaysia,MYS,199.57,32355.64,29552,4.2,7.99408780017611,98.4801217470705,74.2354806421432,3.033577,5.81272240983328,6457215.0748,41.04142942942943,2144.163269869544,7.000350017500875e-05,61.46549197999999,2.9028363636363634,10423.47037470795,4.528397831104561
United Kingdom of Great Britain and Northern Ireland,GBR,128.43,66354.47,51601,3.2,9.60554351444277,272.665647088001,82.23065673273,3.876899,3.02322219840339,8521904.5821,100.0,2847.924138476031,0.028794469760870346,81.13346917999999,1.5492159227985525,343.54310262588854,40.82095087188549
Netherlands (Kingdom of the),NLD,58.35,17315.37,65666,1.8,13.1068656968537,508.8,91.1219700676602,4.021456499999999,2.78154619309936,1010351.8395,100.0,2143.5025465625613,0.03265530511269928,85.87679277999999,0.9200567644276254,430.0695271251272,92.87956076018013
Greece,GRC,56.6,10753.53,31995,30.8,13.4916513440012,83.4342823894492,77.8895342613411,2.8474125,1.47312472702352,608649.7980000001,100.0,2051.004074003938,0.06774547550749142,58.472268140000004,0.8382701421800949,2095.889710970652,18.270400510344043
Germany,DEU,66.31,83104.01,61992,2.7,8.19000478686186,236.588722557747,80.9842544038853,4.106533499999999,2.797906720551,5510626.9031,100.0,2507.836641777278,0.06821477797087552,83.7168057,0.8276335496754867,876.329874677911,28.416178473216878
New Zealand,NZL,96.89,4812.75,46193,2.9,11.5262393633489,18.2811135163875,84.1701025874108,3.445037,3.37873219470765,466307.3475,4.774708520179372,4275.160599571735,0.008349398722284854,89.03959975999999,1.1131663602941175,18985.70180582022,0.945825151940159
Honduras,HND,80.37,9588.14,6100,40.3,18.0407406081852,85.6925283760837,55.3877322339915,2.226175,4.84291391050387,770598.8118,90.76922279792745,1902.2277072299735,0.008391628440366972,41.64829276,2.3919642857142858,8799.605337794254,3.4755541742194005
Sao Tome and Principe,STP,36.04,206.97,5521,48.9,29.7309535309856,215.59375,67.6520004272461,2.474938,4.11297966281954,7459.1988,100.0,1288.7512846865366,0.21414634146341463,50.239503219999996,2.337224383916991,5411.235218115379,12.117263371503116
Cameroon,CMR,12.24,24128.6,4798,52.6,22.8141277684289,51.0431363838294,53.3115142121504,2.2754545,3.54117654926007,295334.064,3.560779220779221,2057.0792909767306,0.00011155476360998053,37.84333904,0.9615082482325216,5077.543669313645,0.02337516474225608
Denmark,DNK,101.73,5765.17,64816,0.9,13.8107494536679,144.1245,88.0161943799509,3.869961,3.05647723922718,586490.7441,100.0,1736.1549340589527,0.08892942651921103,86.78403354,1.0778766687857597,1027.5828324916222,53.7675905480671
Malta,MLT,94.86,467.9,51579,4.5,12.0439869461863,1459.70625,94.5691806330314,2.740476,12.9713424962459,44384.994,100.0,2633.5271309019995,0.002890173410404624,74.02533928,1.1927574500188607,1748.5034539251137,61.909275486215
Guatemala,GTM,75.7,16567.36,11006,51.0,14.5825879494011,154.603928704741,53.7994723140017,2.3159135,3.07985126948702,1254149.152,100.0,908.8683377191267,0.002957821204350517,41.997755299999994,2.066048034934498,8995.24996153279,7.136213615204836
Iceland,ISL,123.89,343.53,63999,0.6,9.63054046839887,3.42543640897756,93.7718982310092,2.949263,3.48506703916689,42559.931699999994,100.0,4167.996919778973,0.0054487179487179484,83.16690580000001,1.205624756714675,2233.0961752947337,23.31860390650016
Canada,CAN,144.62,36808.5,56612,3.2,8.20309596250041,4.07614836279598,81.4018945832226,3.7760355,3.03383491200222,5323245.2700000005,100.0,2696.1739516738066,0.020594253088083832,85.7912451,1.5939601013997575,5648.31395777041,14.479947294782455
Armenia,ARM,59.03,2914.96,14244,49.4,18.0111171291288,104.650509308044,64.7124948593667,2.258332,7.50000000164144,172070.0888,100.0,1140.2051325511325,0.0008531710518465485,51.76773524,1.1129336349924586,3430.7136763350977,14.031341767983095
